activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Oudergesprekken,Aukje de Vries,2022-06-01,Den Haag,,Gesprek,/actueel/agenda/2022/06/01/oudergesprekken
Presentatie Defensienota,"Kajsa Ollongren, Christophe van der Maat",2022-06-01,Rotterdam,"Minister Ollongren, staatssecretaris van der Maat en commandant der strijdkrachten Onno Eichelsheim presenteren de Defensienota",Evenement,/actueel/agenda/2022/06/01/presentatie-defensienota
Gesprek met de Duitse minister Wissing (Transport),Mark Harbers,2022-06-01,Via communicatietechnologie,Minister Harbers spreekt met de Duitse minister van Transport.,Gesprek,/actueel/agenda/2022/06/01/gesprek-met-de-duitse-minister-wissing-transport
In ontvangst name boek van de directeur van BO-Akkerbouw André Hoogendijk,Christianne van der Wal-Zeggelink,2022-06-01,Den Haag,,Evenement,/actueel/agenda/2022/06/01/in-ontvangst-name-boek-van-de-directeur-van-bo-akkerbouw
Concert Herleef,Robbert Dijkgraaf,2022-06-01,Den Haag,Minister Dijkgraaf is aanwezig bij het concert Herleef van het Nederlandse Studenten Orkest in Amare.,Evenement,/actueel/agenda/2022/06/01/concert-herleef
Overleg met speciaal adviseur Carbon Capture and Storage (CCS) over CCS,Rob Jetten,2022-06-02,Den Haag,,Gesprek,/actueel/agenda/2022/06/02/overleg-met-speciaal-adviseur-carbon-capture-and-storage-ccs-over-ccs
Vervolgoverleg met ambassadeur van Oekraïne in Nederland,Karien van Gennip,2022-06-02,Den Haag,"Vervolgoverleg met Maksym Kononenko, ambassadeur van Oekraine in Nederland.",Gesprek,/actueel/agenda/2022/06/02/vervolgoverleg-met-ambassadeur-van-oekraine-in-nederland
Bijpraatgesprek met wethouder van Eindhoven,Hugo de Jonge,2022-06-02,Den Haag,Minister De Jonge heeft een bijpraatgesprek met wethouder van Eindhoven Stijn Steenbakkers.,Gesprek,/actueel/agenda/2022/06/02/bijpraatgesprek-met-wethouder-van-eindhoven
Kennismakingsgesprek met Vereniging van Griffiers en Gemeentesecretarissen,Hanke Bruins Slot,2022-06-02,Den Haag,Kennismakingsgesprek met Vereniging van Griffiers (aanwezig Renée Wiggers voorzitter en Hester den Oudsten directeur) en ...,Gesprek,/actueel/agenda/2022/06/02/kennismakingsgesprek-met-vereniging-van-griffiers-en-gemeentesecretarissen
Kennismakingsgesprek Eerste Kamervoorzitter,Hugo de Jonge,2022-06-02,Den Haag,Minister De Jonge heeft een kennismakingsgesprek met Eerste Kamervoorzitter Tom de Bruijn.,Gesprek,/actueel/agenda/2022/06/02/kennismakingsgesprek-eerste-kamervoorzitter
Gesprek met de staatssecretaris van Justitie over fiscale behandeling van de ongedekte vast lasten,,2022-06-02,Via communicatietechnologie,,NA,/actueel/agenda/2022/06/02/gesprek-met-de-staatssecretaris-van-justitie-over-fiscale-behandeling-van-de-ongedekte-vast-lasten
Bewindsliedenoverleg hoofdlijnen langetermijnstrategie Covid,"Micky Adriaansens, Karien van Gennip",2022-06-02,Den Haag/ Via communicatietechnologie,"Met de minister Volksgezondheid, Welzijn en Sport en de minister van Onderwijs Cultuur en Wetenschap",Gesprek,/actueel/agenda/2022/06/02/bewindsliedenoverleg-hoofdlijnen-langetermijnstrategie-covid
Tweeminutendebat Handelsbetrekkingen Afrika,Liesje Schreinemacher,2022-06-02,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/06/02/tweeminutendebat-handelsbetrekkingen-afrika
Live Q&A Instagram,Rob Jetten,2022-06-02,Via communicatietechnologie,Live Q&A met Klimaatambassadeur van de toekomst.,Gesprek,/actueel/agenda/2022/06/02/live-instagram
Gesprek Franse minister voor Handel,Liesje Schreinemacher,2022-06-02,Luxemburg,Minister Schreinemacher heeft een gesprek met de Franse minister voor Handel Franck Riester.,Gesprek,/actueel/agenda/2022/06/02/gesprek-franse-minister-voor-handel
Congres Platform Internationale Rechtshulp,Dilan Yeşilgöz-Zegerius,2022-06-02,Den Haag,Minister Yeşilgöz-Zegerius houdt een toespraak tijdens het congres Platform Internationale Rechtshulp.,Evenement,/actueel/agenda/2022/06/02/congres-platform-internationale-rechtshulp
Tweeminuten debat Telecomraad,Alexandra van Huffelen,2022-06-02,Den Haag,,Kamervergadering,/actueel/agenda/2022/06/02/tweeminuten-debat-telecomraad
Bezoek aan tentoonstelling Canon van Nederland,Gunay Uslu,2022-06-02,Arnhem,Staatssecretaris Uslu bezoekt in het Openluchtmuseum de tentoonstelling Canon van Nederland en de Anton de Kom expositie.,Werkbezoek,/actueel/agenda/2022/06/02/bezoek-aan-tentoonstelling-canon-van-nederland
Werkbezoek Natuurpoort  de Peel,Christianne van der Wal-Zeggelink,2022-06-02,De Peel,,Werkbezoek,/actueel/agenda/2022/06/02/werkbezoek-natuurpoort-de-peel
Gesprek met voorzitter Parlementaire enquêtecommissie Fraudebeleid en Dienstverlening,Karien van Gennip,2022-06-02,Den Haag,"Minister Van Gennip spreekt met Salima Belhadj, voorzitter Parlementaire enquêtecommissie Fraudebeleid en Dienstverlening. ",Gesprek,/actueel/agenda/2022/06/02/gesprek-met-voorzitter-parlementaire-enquetecommissie-fraudebeleid-en-dienstverlening
